OBJECTID_1,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,CTY_FIPS,OBJECTID,countyFIPS,CountyName,State,population,NEW_CASE_PD2,IR_2,PCT_0to19,PCT_20to34,PCT_35to49,PCT_50to74,PCT_over75,DIAB_PCT,CARDIO_MR,OBESE_PCT,IR2_log,Shape_Length,Shape_Area,X,Y
1,31,039,00835841,31039,Cuming,Cuming County,06,H1,G4020, , , ,A,1477645345,10690204,+41.9158651,-096.7885168,31039,1768,31039,Cuming County,NE,8846,25,282.6136107,26.8,15.3,14.7,31.9,11.5,7,391.5,39.4,2.451193074,153989.8703,1481950219,-65040.90002,324120.3352
2,31,109,00835876,31109,Lancaster,Lancaster County,06,H1,G4020,339,30700, ,A,2169272970,22847034,+40.7835474,-096.6886584,31109,1799,31109,Lancaster County,NE,319090,1806,565.9845185,26.7,25.6,17.7,24.7,5.4,8.1,186.9,29.9,2.752804552,191498.4503,2181031463,-57758.72664,198290.8955
3,31,129,00835886,31129,Nuckolls,Nuckolls County,06,H1,G4020, , , ,A,1489645188,1718484,+40.1764918,-098.0468422,31129,1807,31129,Nuckolls County,NE,4148,4,96.43201543,22.9,13.4,14.3,35.6,14,5.6,548.3,35.6,1.984221244,154088.9637,1483451907,-173426.7387,132548.1106
4,46,099,01265772,46099,Minnehaha,Minnehaha County,06,H1,G4020, ,43620, ,A,2089701439,18188795,+43.6674723,-096.7957261,46099,2338,46099,Minnehaha County,SD,193134,795,411.6313026,27.8,22.6,18.7,25.7,5.1,8.2,229.2,31.1,2.614508393,186372.8528,2103144153,-63679.93374,519393.0386
5,48,327,01383949,48327,Menard,Menard County,06,H1,G4020, , , ,A,2336237980,613559,+30.8852677,-099.8588613,48327,2610,48327,Menard County,TX,2138,16,748.362956,16.6,16.6,17.6,38.1,11.2,7,342.1,29.1,2.874112282,204909.6526,2346749843,-366739.341,-892066.9448
6,06,091,00277310,06091,Sierra,Sierra County,06,H1,G4020, , , ,A,2468694582,23299110,+39.5769252,-120.5219926,6091,201,6091,Sierra County,CA,3005,1,33.27787022,17.6,9.2,16.5,45.1,11.5,4.2,345.9,19.9,1.522155524,288495.6808,2478452061,-2069682.755,344319.5816
7,21,053,00516873,21053,Clinton,Clinton County,06,H1,G4020, , , ,A,510875757,21152699,+36.7272577,-085.1360977,21053,975,21053,Clinton County,KY,10218,19,185.9463692,25.5,16.5,18.3,32,7.8,9.4,342.9,37.7,2.269387703,113442.974,529592869.3,963736.2154,-194774.3962
8,39,063,01074044,39063,Hancock,Hancock County,06,H1,G4020,534,22300, ,A,1376124980,6021322,+41.0002170,-083.6659471,39063,2005,39063,Hancock County,OH,75783,253,333.8479606,25.5,19.7,17.9,29.9,7.1,9.8,296.3,35.9,2.523548728,154277.0003,1375312585,1029369.275,291980.8814
9,48,189,01383880,48189,Hale,Hale County,06,H1,G4020,352,38380, ,A,2602109423,246678,+34.0684364,-101.8228879,48189,2543,48189,Hale County,TX,33406,1115,3337.723762,30.9,21.6,17.7,23.8,6,13.7,266,31.5,3.523450391,204211.5043,2597937997,-536591.0695,-529891.3927
10,01,027,00161539,01027,Clay,Clay County,06,H1,G4020, , , ,A,1564255426,5281616,+33.2703999,-085.8635254,1027,14,1027,Clay County,AL,13235,170,1284.472988,24.1,15.5,18.5,33.6,8.3,14.2,452,37.1,3.108724976,203930.1296,1568823905,942290.4941,-583488.8452
